Animal,Symptoms,Disease,Explanation,Precautions
Dog,chronic cough; difficulty breathing; fainting,Heartworm Disease,"Heartworm disease is caused by parasitic worms living in the heart and lungs, transmitted through mosquito bites.","Monthly heartworm prevention; avoid mosquitoes; regular testing; treatment is expensive and risky; keep dogs on prevention."
Dog,rapid breathing; restlessness; blue gums,Cyanosis,"Cyanosis occurs when there's insufficient oxygen in the blood, causing blue gums and difficulty breathing. It's a medical emergency.","Seek immediate veterinary care; keep dog calm; oxygen therapy; treat underlying cause; emergency intervention."
Dog,limping; swollen leg; pain,Lyme Disease,"Lyme disease is a bacterial infection transmitted by ticks, causing fever, limping, and joint swelling.","Tick prevention; check for ticks after outdoor activity; antibiotics treatment; vaccine available; regular inspection."
Dog,excessive thirst; vomiting; diarrhea,Poisoning,"Poisoning occurs when dogs ingest toxic substances like chocolate, grapes, or household chemicals.","Seek immediate vet care; identify poison if possible; do not induce vomiting unless directed; keep toxins out of reach."
Dog,bloody urine; straining to urinate; frequent urination,Urinary Tract Infection,"UTIs are bacterial infections in the urinary tract causing pain, bloody urine, and frequent urination.","Antibiotics; increase water intake; frequent bathroom breaks; good hygiene; monitor symptoms."
Dog,loss of balance; head tilt; circling,Wobbler Syndrome,"Wobbler syndrome is a spinal condition affecting the neck, causing unsteady gait and neck pain.","Surgery; medication; neck brace; avoid collar; physical therapy; manage weight."
Dog,patchy fur; itchy scalp; flaky skin,Ringworm,"Ringworm is a fungal infection causing circular lesions, hair loss, and itchy skin.","Antifungal medication; isolate infected pets; disinfect home; keep areas clean; wash hands frequently."
Dog,weakness; pale gums; rapid breathing,Anemia,"Anemia is a condition where the blood lacks enough healthy red blood cells, causing fatigue and pale gums.","Treat underlying cause; iron supplements; blood transfusion if severe; proper nutrition; regular monitoring."
Dog,excessive urination; abdominal enlargement,Cushing's Disease,"Cushing's disease is caused by overproduction of cortisol hormone, leading to increased thirst, urination, and pot-bellied appearance.","Medication to control cortisol; surgery if tumor; regular monitoring; manage diet; reduce stress."
Dog,nasal discharge; bloody nose; facial swelling,Aspergillosis,"Aspergillosis is a fungal infection affecting the nasal passages, causing discharge, sneezing, and nasal damage.","Antifungal medication; surgery in some cases; avoid dusty environments; good ventilation; early treatment."
Dog,chronic diarrhea; weight loss; poor coat,Inflammatory Bowel Disease,"IBD is inflammation of the intestinal tract causing chronic diarrhea, vomiting, and weight loss.","Special diet; medications; identify trigger foods; regular vet visits; manage stress."
Dog,itchy ears; head shaking; ear discharge,Ear Infection,"Ear infections are caused by bacteria or yeast in the ear canal, leading to pain, itching, and discharge.","Clean ears regularly; keep ears dry; antibiotics or antifungal medication; identify underlying cause; prevent scratching."
Cat,sneezing; nasal discharge; conjunctivitis,Feline Herpesvirus,"Feline herpesvirus causes respiratory and eye infections. It's common in multi-cat environments and causes recurrent outbreaks.","Reduce stress; keep vaccinated; isolate infected cats; lysine supplementation; good hygiene."
Cat,excessive grooming; hair loss; skin irritation,Flea Allergy Dermatitis,"Flea allergy causes intense itching and skin damage from flea bites. Even single bites can cause severe reactions.","Flea prevention; treat environment; soothing baths; steroids as prescribed; check for secondary infections."
Cat,vomiting; hairballs; lethargy,Hairball Obstruction,"Hairballs are accumulations of fur in the stomach causing vomiting, gagging, and intestinal blockage.","Regular grooming; hairball diets; lubricants; monitor for blockage; vet care if severe."
Cat,polyuria; polydipsia; weight loss,Feline Diabetes,"Similar to canine diabetes, feline diabetes requires insulin therapy and diet management.","Healthy diet; weight management; regular exercise; blood glucose monitoring; insulin as prescribed."
Cat,joint stiffness; reluctance to jump; painful joints,Arthritis,"Feline arthritis causes pain and reduced mobility, especially in older cats. It often goes undiagnosed.","Joint supplements; low-stress environment; ramps; pain management; regular vet checkups."
Cat,diarrhea; weight loss; poor coat,Feline Panleukopenia,"Feline panleukopenia is a highly contagious viral disease causing severe diarrhea, vomiting, and low white blood cells.","Vaccination; isolate infected cats; thorough disinfection; supportive care; immediate vet attention."
Cat,excessive thirst; urination; vomiting,Kidney Disease,"Chronic kidney disease is common in older cats, causing increased thirst, urination, and eventual kidney failure.","Low-protein diet; plenty of water; regular monitoring; phosphate binders; manage blood pressure."
Cat,mouth ulcers; drooling; refusing food,Gingivitis,"Gingivitis is inflammation of gums causing pain, drooling, and difficulty eating. It's caused by plaque buildup.","Regular dental care; tooth brushing; dental treats; professional cleaning; treat underlying disease."
Cat,weakening back legs; incontinence; paralysis,Feline Myelopathy,"Myelopathy is spinal cord disease causing hind limb weakness, paralysis, and loss of bladder control.","Emergency vet care; surgery if possible; supportive care; physical therapy; may require lifelong management."
Cat,skin lumps; rapid growth; ulceration, mast Cell Tumor,"Mast cell tumors are common skin cancers in cats that can be benign or malignant. They appear as lumps that can itch or ulcerate.","Surgical removal; biopsy for diagnosis; staging tests; follow-up care; monitor for recurrence."
Cat,rapid breathing; open-mouth breathing; lethargy,Asthma,"Feline asthma is a chronic respiratory condition causing wheezing, coughing, and difficulty breathing.","Avoid triggers; inhalers; bronchodilators; reduce stress; keep environment clean; monitor breathing."
Cat,bloody urine; straining; frequent urination,Feline Lower Urinary Tract Disease,"FLUTD is a group of conditions affecting the bladder and urethra, causing pain and urinary problems.","Increase water intake; special diet; reduce stress; medication; monitor urination habits."
Cat,lethargy; pale gums; weakness,Feline Leukemia,"Feline Leukemia Virus (FeLV) is a retrovirus causing immunosuppression, anemia, and increased cancer risk.","Keep cats indoors; test before introducing new cats; vaccination; no contact with infected cats; regular vet visits."
Cat,head tilt; circling; loss of balance, vestibular Disease,"Vestibular disease affects balance, causing head tilting, circling, and nausea. It's often idiopathic but can be caused by infections.","Supportive care; medication for nausea; keep cat safe; reduce stress; usually resolves on its own."
Cat,vomiting; diarrhea; lethargy; fever,FIP,"Feline Infectious Peritonitis is a viral disease causing fluid accumulation in abdomen, fever, and neurological signs.","Supportive care; recently developed antiviral treatments; reduce stress; quality nutrition; palliative care."
Cat,swollen abdomen; loss of appetite; lethargy,Feline Hepatic Lipidosis,"Hepatic lipidosis is a life-threatening liver condition caused by starvation, leading to fat accumulation in liver.","Immediate veterinary care; aggressive nutritional support; force-feeding if necessary; treat underlying cause."
Cat,chronic cough; weight loss; night coughing,Feline Asthma,"Feline asthma causes chronic coughing, wheezing, and difficulty breathing, often triggered by allergens.","Avoid smoke and dust; corticosteroid inhalers; bronchodilators; keep environment clean; regular monitoring."
Cat,crusty eyes; squinting; eye swelling,Conjunctivitis,"Conjunctivitis is inflammation of the eye membranes causing redness, discharge, and swelling. It's caused by infections or allergies.","Antibiotic eye drops; keep eyes clean; identify allergens; reduce stress; isolate from other cats."
Cow,fever; reduced milk production; lethargy,Mastitis,"Mastitis is an inflammation of the udder usually caused by bacterial infection. It affects milk quality and quantity.","Keep udder clean; dry bedding; proper milking hygiene; treat immediately; isolate infected cow."
Cow,bloat; abdominal distension; restlessness,Bloat,"Bloat is a life-threatening condition where the rumen fills with gas. It requires immediate intervention to prevent death.","Feed small frequent meals; avoid sudden diet changes; exercise after feeding; monitor closely; emergency vet care."
Cow,lameness; swollen hoof; reluctance to walk,Foot Rot,"Foot rot is a bacterial infection causing severe lameness in cattle. It spreads in wet, dirty conditions.","Keep hooves trimmed; clean, dry bedding; foot baths; treat with antibiotics; isolate infected animals."
Cow,coughing; difficulty breathing; nasal discharge,Pneumonia,"Pneumonia is a lung infection causing coughing, breathing difficulty, and fever. It's often caused by bacteria or viruses.","Good ventilation; reduce stress; vaccination; early treatment; separate sick animals."
Cow,diarrhea; dehydration; weight loss,Johne's Disease,"Johne's disease is a chronic bacterial infection causing severe diarrhea and weight loss. It's spread through contaminated milk.","Test regularly; remove infected animals; feed colostrum from tested cows; maintain hygiene; cull chronically infected."
Cow,weakness; anemia; pale mucous membranes,Anaplasmosis,"Anaplasmosis is a tick-borne disease causing anemia, fever, and weakness. It affects red blood cells.","Tick control; test blood; treat with antibiotics; rotate pastures; monitor herd health."
Cow,abortion; stillbirth; weak calf,Brucellosis,"Brucellosis is a bacterial infection causing abortions in cattle. It's zoonotic and transmissible to humans.","Vaccination; test and cull; quarantine new animals; safe birthing practices; personal protective equipment."
Cow,skin lesions; wool loss; itching,Scabies,"Scabies is a parasitic skin infestation causing intense itching, lesions, and wool loss. It spreads through direct contact.","Isolate affected animals; ivermectin treatment; disinfect equipment; good nutrition; regular inspection."
Cow,reduced appetite; weight loss; hairy coat,Worm Infestation,"Internal parasites cause poor nutrient absorption leading to weight loss, poor coat, and reduced productivity.","Regular deworming; pasture rotation; fecal testing; proper nutrition; strategic treatment."
Cow,swollen joints; lameness; fever,Joint Ill,"Joint ill is a bacterial infection in calves affecting joints, causing swelling, lameness, and fever.","Clean birthing environment; antibiotics; isolate affected calves; good hygiene; colostrum feeding."
Cow,eye cloudiness; blindness; excessive tearing,IBK,"Infectious Bovine Keratoconjunctivitis is a bacterial eye infection causing corneal ulcers and blindness in cattle.","Antibiotic treatment; isolate affected cattle; fly control; good nutrition; early intervention."
Cow,rapid weight loss; diarrhea; weakness,BVD,"Bovine Viral Diarrhea is a viral disease causing immunosuppression, diarrhea, and respiratory problems.","Vaccination; test and cull; biosecurity; avoid introducing infected animals; proper quarantine."
Cow,abdominal pain; reduced appetite; bloating,Acidosis,"Acidosis is a digestive disorder caused by excessive grain feeding, leading to acid buildup in the rumen.","Gradual grain introduction; adequate fiber; buffer supplements; monitor feeding; treat immediately."
Cow,udder swelling; pain; abnormal milk,Digital Dermatitis,"Digital dermatitis is a painful foot lesion caused by bacteria, leading to lameness and reduced milk production.","Foot baths; antibiotics; clean bedding; regular hoof trimming; early treatment."
Horse,coughing; nasal discharge; fever,Equine Influenza,"Equine influenza is a highly contagious viral respiratory infection causing fever, cough, and nasal discharge.","Vaccination; isolate sick horses; good ventilation; rest; treat secondary infections."
Horse,colic; abdominal pain; rolling,Colic,"Colic is abdominal pain in horses with many causes including gas, impaction, or twisted intestine. It's a medical emergency.","Feed small meals; fresh water always; regular deworming; avoid sand; recognize early signs."
Horse,lameness; joint swelling; heat in hoof,Laminitis,"Laminitis is inflammation of the hoof laminae causing severe pain and lameness. It's often metabolic-related.","Proper nutrition; maintain healthy weight; regular hoof care; treat underlying conditions; immediate vet care."
Horse,weight loss; poor coat; diarrhea,Equine Protozoal Myeloencephalitis,"EPM is a neurological disease caused by protozoa affecting the spinal cord, causing weakness and incoordination.","Reduce opossum exposure; clean feed; treat early; supportive care; physical therapy."
Horse,skin bumps; hives; itching,Allergic Dermatitis,"Horses can develop allergic reactions to insects, plants, or environmental factors causing hives and itching.","Identify allergens; fly control; antihistamines; steroids; soothing baths."
Horse,eye inflammation; discharge; cloudiness,Conjunctivitis,"Conjunctivitis is inflammation of the eye membrane causing redness, discharge, and discomfort.","Clean discharge; antibiotics; reduce dust; treat underlying cause; monitor for complications."
Horse,weakness; anemia; jaundice,Equine Infectious Anemia,"EIA is a viral disease transmitted by flies causing anemia, fever, and weight loss. It's lifelong infection.","Test regularly; control flies; quarantine new horses; no vaccine; report positive cases."
Horse,chronic coughing; weight loss; nasal discharge,Heaves,"Heaves is a chronic allergic respiratory disease similar to asthma, causing coughing and breathing difficulty.","Dust-free bedding; low-dust feed; reduce allergens; bronchodilators; environmental management."
Horse,swollen legs; heat; pain,Thrush,"Thrush is a bacterial infection of the hoof causing pain, foul odor, and lameness.","Clean hooves regularly; antifungal treatments; dry bedding; proper hoof trimming; good hygiene."
Horse,unexplained weight loss; poor performance; lethargy,Stomach Ulcers,"Gastric ulcers are common in horses causing poor appetite, weight loss, and behavioral changes.","Reduce stress; frequent small meals; ulcer medications; avoid NSAIDs; proper feeding schedule."
Horse,nasal discharge; coughing; swollen lymph nodes,Strangles,"Strangles is a highly contagious bacterial infection causing abscesses, fever, and respiratory symptoms.","Quarantine infected horses; antibiotic treatment; disinfect equipment; good biosecurity; vaccination."
Horse,skin lesions; crusty patches; hair loss,Rain Rot,"Rain rot is a bacterial skin infection caused by wet conditions, leading to crusty lesions and hair loss.","Keep horses dry; antibacterial shampoos; isolate affected horses; good grooming; improve housing conditions."
Chicken,reduced egg production; soft shells; weight loss,Calcium Deficiency,"Calcium deficiency causes weak eggshells, leg problems, and reduced egg production in laying hens.","Provide calcium supplements; oyster shell; balanced feed; adequate vitamin D; monitor flock."
Chicken,lethargy; green diarrhea; sudden death,Marek's Disease,"Marek's disease is a viral disease causing tumors, paralysis, and death in chickens.","Vaccination at day old; good biosecurity; purchase from reputable sources; isolate sick birds."
Chicken,respiratory distress; coughing; gasping,Avian Influenza,"Avian influenza is a viral disease affecting birds of all ages. It can be highly pathogenic and fatal.","Biosecurity measures; report outbreaks; avoid wild bird contact; proper disposal; vaccination where allowed."
Chicken,diarrhea; weight loss; feather loss,Coccidiosis,"Coccidiosis is a parasitic intestinal disease causing diarrhea, weight loss, and death in young chickens.","Clean litter; anticoccidial drugs; rotation; good hygiene; early treatment."
Chicken,swollen joints; lameness; deformity,Mycoplasma Infection,"Mycoplasma causes chronic respiratory disease and joint infections in chickens.","Good ventilation; reduce stress; antibiotics; cull carriers; maintain clean environment."
Chicken,skin lesions; feather loss; mites,Mite Infestation,"Mites are external parasites causing itching, feather damage, and anemia in severe cases.","Regular inspection; dust baths; permethrin treatment; clean coop; treat all birds."
Chicken,bloating; abdominal swelling; egg binding,Egg Yolk Peritonitis,"Egg yolk peritonitis occurs when yolk material enters the abdomen causing infection and swelling.","Good nutrition; proper lighting; treat infections; surgical intervention in early stages; reduce stress."
Chicken,weakness; head twisted; paralysis,Newcastle Disease,"Newcastle disease is a viral infection causing respiratory issues, paralysis, and green diarrhea.","Vaccination; quarantine; good biosecurity; report outbreaks; disinfect equipment."
Chicken,respiratory symptoms; swelling; nasal discharge,Infectious Coryza,"Coryza is a bacterial respiratory disease causing swelling, foul odor, and reduced egg production.","Antibiotics; good ventilation; cull carrier birds; disinfect; avoid introducing new birds."
Chicken,loss of appetite; drooping wings; sudden death,Chicken Anemia Virus,"CAV causes anemia, immunosuppression, and increased susceptibility to other infections.","Vaccination; good biosecurity; clean environment; proper nutrition; avoid stress."
Pig,fever; reduced milk production; lethargy,Porcine Reproductive and Respiratory Syndrome,"PRRS is a viral disease causing reproductive failure in sows and respiratory disease in pigs.","Biosecurity; vaccination; test and cull; good hygiene; manage airflow."
Pig,skin lesions; red spots; high fever,African Swine Fever,"African Swine Fever is a deadly viral disease causing high fever, skin lesions, and rapid death. No vaccine exists.","Strict biosecurity; control pig movement; report outbreaks; cull infected herds; prevent wild boar contact."
Pig,coughing; stunting; poor growth,Porcine Circovirus,"PCV2 causes post-weaning multisystemic wasting syndrome in pigs, leading to poor growth and death.","Vaccination; good management; reduce stress; early treatment; clean environment."
Pig,vomiting; diarrhea; dehydration,Transmissible Gastroenteritis,"TGE is a viral disease causing severe vomiting and diarrhea, especially in piglets.","Biosecurity; vaccination; clean farrowing units; electrolyte therapy; supportive care."
Pig,lameness; joint swelling; reluctance to move,Glasser's Disease,"Glasser's disease causes arthritis and meningitis in pigs due to Haemophilus parasuis.","Vaccination; good hygiene; treat early with antibiotics; reduce mixing; maintain stable groups."
Pig,skin irritation; rubbing; mites,Mange,"Mange is a parasitic skin infestation causing intense itching and skin damage.","Ivermectin treatment; wash pens; treat all pigs; repeat treatment; disinfect equipment."
Pig,fever; coughing; skin lesions,Swine Flu,"Swine flu is a viral respiratory infection causing fever, coughing, and lethargy in pigs.","Vaccination; good ventilation; reduce stress; isolate sick pigs; proper biosecurity."
Pig,diarrhea; dehydration; mortality in piglets,Porcine Epidemic Diarrhea,"PED is a viral disease causing severe watery diarrhea, especially in neonatal piglets.","Biosecurity; vaccination; colostrum; clean farrowing; control movement."
Sheep,lameness; foot rot; foul smell,Foot Rot,"Foot rot is a bacterial infection causing severe lameness in sheep. It spreads in wet conditions.","Regular foot trimming; foot baths; cull chronic carriers; dry footing; treat early."
Sheep,skin lesions; wool loss; scabs,Sheep Scab,"Sheep scab is a highly contagious mite infestation causing intense itching and wool loss.","Dip or spray treatment; isolate affected; treat all flock; clean equipment; monitor after treatment."
Sheep,abortion; stillbirth; weak lambs,Toxoplasmosis,"Toxoplasmosis causes abortion in sheep and is transmitted through cat feces or contaminated feed.","Keep cats away from feed; test ewes; treat with antibiotics; good hygiene; manage lambing."
Sheep,weight loss; hairy coat; diarrhea,Parasitic Gastroenteritis,"Internal parasites cause poor nutrient absorption and production losses.","Strategic deworming; pasture rotation; fecal testing; selective treatment; good nutrition."
Sheep,central nervous system signs; circling; wobbly gait,Wobbler Syndrome,"Wobbler syndrome causes neurological signs due to spinal cord compression in sheep.","Maintain proper nutrition; avoid rapid growth; surgical options; supportive management; early detection."
Sheep,swollen joints; lameness; fever,Erysipelas,"Erysipelas is a bacterial infection causing diamond-shaped skin lesions, fever, and arthritis.","Vaccination; antibiotic treatment; good hygiene; control flies; proper disposal."
Sheep,respiratory distress; nasal discharge; coughing,Pasteurellosis,"Pasteurella bacteria cause respiratory infections in sheep, especially in stressed or young animals.","Good ventilation; vaccination; reduce stress; treat early; isolate sick animals."
Sheep,sudden death; bloody froth; convulsions,Anthrax,"Anthrax is a deadly bacterial disease causing sudden death with bloody froth from body openings.","Vaccination; do not open carcass; report to authorities; proper disposal; control grazing areas."
Goat,diarrhea; dehydration; weight loss,Caprine Coronavirus,"Goat coronavirus causes severe diarrhea especially in kids, leading to dehydration and death.","Biosecurity; clean kidding areas; electrolytes; early treatment; colostrum feeding."
Goat,swollen joints; lameness; weight loss,Caprine Arthritis Encephalitis,"CAE is a viral disease causing arthritis in adults and neurological signs in kids.","Test and cull; don't feed raw milk; isolate kids at birth; manage herd health."
Goat,coughing; nasal discharge; pneumonia,Pasteurellosis,"Pasteurella bacteria cause respiratory infections in goats, especially in stressed or young animals.","Good ventilation; reduce stress; vaccination; treat early; isolate sick animals."
Goat,weight loss; poor coat; bottle jaw,Parasitic Gastroenteritis,"Internal parasites cause anemia, weight loss, and fluid accumulation under the jaw.","Strategic deworming; pasture rotation; fecal testing; selective treatment; good nutrition."
Goat,skin lesions; wool loss; scabs,Scabies,"Goat scabies is caused by mites causing intense itching and skin damage.","Ivermectin; isolate affected; treat all; dip or spray; clean environment."
Goat,abortion; stillbirth; weak kids,Chlamydia,"Chlamydia causes abortion storms in goats and can affect humans.","Vaccination; test and cull; quarantine; good hygiene; treat with antibiotics."
Goat,lameness; swollen feet; foot rot,Foot Rot,"Foot rot is a bacterial infection causing lameness in goats. It spreads in wet, dirty conditions.","Regular hoof trimming; foot baths; dry bedding; antibiotics; isolate affected goats."
Goat,weakness; anemia; bottle jaw,Haemonchosis,"Haemonchosis is a blood-sucking parasite causing anemia, weakness, and fluid accumulation.","Strategic deworming; pasture rotation; monitor FAMACHA; selective treatment; good nutrition."
Duck,weakness; diarrhea; neurological signs,Duck Viral Hepatitis,"DVH is a highly fatal viral disease affecting ducklings causing liver damage and neurological signs.","Vaccination; clean breeding stock; good hygiene; control insects; early detection."
Duck,nasal discharge; coughing; swollen sinuses,Duck Plague,"Duck plague is a herpesvirus causing diarrhea, nasal discharge, and high mortality.","Vaccination; control waterfowl access; good biosecurity; cull infected; clean water sources."
Duck,leg weakness; beak paralysis; botulism,Botulism,"Botulism causes progressive paralysis from toxin in contaminated feed or water.","Remove toxin source; clean water; treat with antitoxin; supportive care; proper feed storage."
Duck,eye swelling; nasal discharge; respiratory distress,Duck Influenza,"Duck influenza is a viral infection causing respiratory symptoms, eye problems, and egg production drops.","Vaccination; biosecurity; control wild bird contact; good hygiene; monitor flock."
Duck,leg deformities; stunted growth; nutritional deficiency,Riboflavin Deficiency,"Riboflavin deficiency causes leg deformities, poor growth, and curled toe paralysis in ducklings.","Supplement diet with riboflavin; proper nutrition; early treatment; balanced feed."
Turkey,diarrhea; dehydration; weight loss,Histomoniasis,"Histomoniasis is a protozoal disease causing diarrhea and liver damage in turkeys.","Clean housing; rotate ranges; treat with metronidazole; good hygiene; reduce stress."
Turkey,swollen joints; lameness; enteritis,Turkey Coronavirus,"Turkey coronavirus causes enteritis and wasting in poults.","Biosecurity; clean brooding; isolate affected; supportive care; proper hygiene."
Turkey,respiratory distress; coughing; nasal discharge,Mycoplasma Gallisepticum,"MG causes chronic respiratory disease in turkeys with coughing and nasal discharge.","Biosecurity; vaccination; treat with antibiotics; test and cull; good ventilation."
Turkey,weakness; diarrhea; liver damage,Blackhead Disease,"Blackhead is a parasitic disease causing liver damage, diarrhea, and high mortality in turkeys.","Prevent access to intermedial hosts; metronidazole treatment; good hygiene; rotate pastures; early detection."
Turkey,nasal discharge; swelling; sinusitis,Turkey Coryza,"Coryza is a bacterial infection causing swelling around eyes and nasal discharge.","Antibiotics; good ventilation; isolate affected; disinfect; proper nutrition."
Turkey,paralysis; leg weakness; vitamin deficiency,Thiamine Deficiency,"Thiamine deficiency causes neurological symptoms including paralysis and convulsions in turkeys.","Supplement thiamine; proper diet; early treatment; balanced feed; avoid stress."
Rabbit,diarrhea; loss of appetite; bloated stomach,Enteritis,"Enteritis is inflammation of the intestines in rabbits, often fatal. It's caused by stress or bacterial overgrowth.","Clean environment; limited pellets; high fiber diet; reduce stress; immediate vet care."
Rabbit,head tilt; circling; loss of balance,E. Cuniculi,"Encephalitozoon cuniculi is a parasitic infection causing neurological symptoms and kidney damage in rabbits.","Quarantine new rabbits; good hygiene; treat with fenbendazole; reduce stress; monitor health."
Rabbit,runny nose; sneezing; reduced activity,Upper Respiratory Infection,"URI in rabbits is often caused by bacteria similar to human colds but can be serious.","Isolate sick rabbits; antibiotics; keep warm; reduce stress; supportive care."
Rabbit,loss of appetite; grinding teeth; hunched posture,Dental Disease,"Dental problems are common in rabbits due to continuously growing teeth causing pain and eating difficulties.","Hay-based diet; regular vet checks; teeth trimming; proper calcium; monitor eating."
Rabbit,skin lesions; scratching; fur loss,Fur Mites,"Fur mites cause intense itching, hair loss, and skin irritation in rabbits.","Ivermectin treatment; clean environment; treat all rabbits; reduce stress; proper nutrition."
Rabbit,sudden death; bleeding; myxomatosis,Myxomatosis,"Myxomatosis is a deadly viral disease causing swelling, discharge, and rapid death in rabbits.","Vaccination; control insects; quarantine new rabbits; good hygiene; avoid contact with wild rabbits."
Rabbit,bloated stomach; weakness; loss of appetite,Gastric Stasis,"Gastric stasis is a condition where the stomach stops moving, causing bloating and pain.","Hay diet; hydration; motility medications; massage; encourage exercise."
Rabbit,cloudy eyes; sneezing; respiratory issues,Snuffles,"Snuffles is a bacterial respiratory infection causing nasal discharge, sneezing, and eye problems.","Antibiotics; reduce stress; good ventilation; clean environment; isolate affected rabbits."
Fish,white spots on body; flashing; lethargy,Ich,"Ichthyophthirius (Ich) is a parasitic disease causing white spots on fish and is common in stressed fish.","Raise temperature; add aquarium salt; increase aeration; treat with ich medication; quarantine new fish."
Fish,red fins; ulcers; lethargy,Bacterial Fin Rot,"Bacterial fin rot causes frayed fins, ulcers, and systemic infection in stressed fish.","Improve water quality; antibiotics; reduce stress; remove sick fish; proper filtration."
Fish,abnormal swimming; bloating; exophthalmia,Dropsy,"Dropsy is a condition causing fluid accumulation, bloating, and raised scales due to organ failure.","Isolate affected fish; improve water quality; antibiotics; Epsom salt baths; often fatal."
Fish,gasping at surface; red gills; ammonia smell,Ammonia Poisoning,"Ammonia buildup from waste causes gill damage and respiratory distress in fish.","Test water; partial water changes; reduce feeding; improve filtration; establish nitrogen cycle."
Fish,fungal growth on body; cotton-like; lethargy,Fungal Infection,"Fungal infections attack injured fish in poor water conditions.","Improve water quality; remove infected fish; antifungal treatment; salt baths; prevent injury."
Fish,scratching against objects; white strands; flashing,Gill Mites,"Gill mites are parasites causing irritation, excessive mucus, and respiratory distress.","Formalin treatment; improve water quality; quarantine affected fish; clean tank; reduce stress."
Fish,bloated body; pinecone appearance; lethargy,Dropsy,"Dropsy indicates kidney failure causing fluid buildup. It's often caused by poor water quality or bacterial infection.","Improve water quality immediately; antibiotics; Epsom salt baths; isolate fish; often difficult to treat."
Fish,erratic swimming; twitching; clamped fins,Velvet Disease,"Velvet disease is a parasitic infection causing gold or rust-colored spots and excessive mucus.","Raise temperature; copper-based medication; improve water quality; quarantine affected fish; reduce stress."
